Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
913 /,600,101250,16,359605,98461.53,54.500%,1.65789,220.70,2.30,136316.4
941 /viewbook,300,46566,70,172135,51651.97,8.333%,.98438,77.11,0.59,80213.8
965 /pagelist,300,10654,257,172135,20952.94,1.333%,.86721,94.20,0.78,111231.9
989 /createpage,300,7815,1397,130613,13027.52,1.000%,.82975,32.71,0.78,40369.3
1013 /savepage,600,37957,6224,221499,26745.74,1.333%,1.44095,411.58,5.76,292488.2
1039 /thepages/5c1674cb67556a1a2d745311,300,14317,2732,72058,10235.59,0.000%,.76142,29.93,0.74,40245.4
1063 /pagerank,300,10809,3006,77765,5619.10,0.000%,.75662,55.19,0.74,74692.0
1087 /mongorank,300,9711,4200,32947,3812.59,0.000%,.75042,83.29,0.71,113657.1
1111 /login,300,7100,1948,33001,3529.79,0.000%,.76312,26.78,0.72,35938.6
1125 /login,600,35584,5038,127032,17688.88,0.000%,1.53085,752.23,4.65,503174.0
1127 /home,300,9565,1800,39164,8120.82,0.000%,.81272,35.93,0.77,45267.4
1144 /books,300,9960,1672,79449,8470.20,0.000%,.82826,680.52,0.78,841345.1
1162 /books,600,19801,2172,91143,12299.44,0.000%,1.66392,1983.03,3.72,1220380.9
1241 /thepages/5c1674b467556a1a2d745310,300,11304,999,77639,10350.37,0.000%,.93007,41.59,0.91,45791.5
1289 /thepages/5c16782267556a1a2d745313,300,10432,1035,70951,6261.98,0.000%,.93879,41.97,0.92,45781.0
1337 /thepages/5c167a4a67556a1a2d745315,300,9995,528,36799,5379.04,0.000%,.95399,42.65,0.93,45781.0
1217 /pagelist,300,31732,3613,112785,16350.30,0.000%,.92447,124.00,2.71,137353.4
TOTAL,6300,27578,16,359605,44100.33,5.825%,14.51148,4023.58,24.43,283923.2
