Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
374 /,600,59380,2679,130600,130685,130730,41,130771,46.333%,4.56965,102.47,0.95
405 /pagerank,600,50445,28619,133213,179328,201839,234,329041,21.667%,1.80099,381.70,2.59
429 /pagelist,300,21803,9617,76568,112636,129900,1550,130449,6.333%,.90949,212.00,0.75
453 /createpage,300,10894,7794,11651,28618,77937,2941,130487,1.333%,.90534,35.54,0.84
477 /savepage,600,15896,15790,19739,20147,41269,5402,130817,1.667%,1.78728,548.03,3.70
827 /login,600,8168,8377,10929,11123,19104,2501,25236,0.000%,1.85054,64.92,1.74
841 /login,600,17205,16312,22609,30056,49090,5942,72417,0.000%,1.82099,106.47,3.81
758 /books,600,14873,13369,22879,23960,25665,2931,129536,0.333%,1.85457,4565.30,1.67
776 /books,600,35821,40366,48460,50235,52539,7829,76818,0.333%,1.81909,5299.97,4.05
863 /,600,25697,24941,43951,48691,52058,1159,52807,0.000%,1.91448,296.04,2.70
893 /mongorank,300,11814,10825,20516,24254,37412,951,38419,0.000%,1.01953,220.18,0.96
917 /,600,63,61,71,76,107,56,124,0.000%,2.15962,1.66,0.93
TOTAL,6300,23791,13081,48494,122074,130817,41,329041,7.063%,16.58816,10125.52,20.64
