Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
374 /,600,59380,41,130771,62070.09,46.333%,4.56965,102.47,0.95,22962.4
405 /pagerank,600,50445,234,329041,58582.88,21.667%,1.80099,381.70,2.59,217022.8
429 /pagelist,300,21803,1550,130449,30932.09,6.333%,.90949,212.00,0.75,238695.0
453 /createpage,300,10894,2941,130487,15515.44,1.333%,.90534,35.54,0.84,40201.9
477 /savepage,600,15896,5402,130817,8528.07,1.667%,1.78728,548.03,3.70,313984.4
827 /login,600,8168,2501,25236,2938.82,0.000%,1.85054,64.92,1.74,35922.2
841 /login,600,17205,5942,72417,7725.30,0.000%,1.82099,106.47,3.81,59869.1
758 /books,600,14873,2931,129536,9080.54,0.333%,1.85457,4565.30,1.67,2520729.3
776 /books,600,35821,7829,76818,12079.88,0.333%,1.81909,5299.97,4.05,2983450.4
863 /,600,25697,1159,52807,13450.48,0.000%,1.91448,296.04,2.70,158345.2
893 /mongorank,300,11814,951,38419,6626.52,0.000%,1.01953,220.18,0.96,221142.7
917 /,600,63,56,124,8.45,0.000%,2.15962,1.66,0.93,788.0
TOTAL,6300,23791,41,329041,33424.11,7.063%,16.58816,10125.52,20.64,625056.5
